Store,Date,Type,Week,Scaled_Week,Weekly Sales (Million),Holiday,Super Bowl,Labor Day,Thanksgiving,Before Christmas,Christmas,Time Period,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Log of Weekly Sales (Million)
1,2010-02-05,A,5,0.09615384615384616,1.6436909,,0,0,0,0,0,1,42.31,2.572,,,,,,211.0963582,8.106,0.49694426192494007
1,2010-02-12,A,6,0.11538461538461539,1.6419574399999999,Super Bowl,1,0,0,0,0,2,38.51,2.548,,,,,,211.2421698,8.106,0.4958890910840861
1,2010-02-19,A,7,0.1346153846153846,1.61196817,,0,0,0,0,0,3,39.93,2.514,,,,,,211.2891429,8.106,0.4774558982319202
1,2010-02-26,A,8,0.15384615384615385,1.4097275900000001,,0,0,0,0,0,4,46.63,2.561,,,,,,211.3196429,8.106,0.34339648714326665
1,2010-03-05,A,9,0.17307692307692307,1.55480668,,0,0,0,0,0,5,46.5,2.625,,,,,,211.3501429,8.106,0.4413512163592255
1,2010-03-12,A,10,0.19230769230769232,1.4395415900000001,,0,0,0,0,0,6,57.79,2.667,,,,,,211.3806429,8.106,0.3643247226291092
1,2010-03-19,A,11,0.21153846153846154,1.47251579,,0,0,0,0,0,7,54.58,2.72,,,,,,211.215635,8.106,0.38697235974587335
1,2010-03-26,A,12,0.23076923076923078,1.4044299199999999,,0,0,0,0,0,8,51.45,2.732,,,,,,211.0180424,8.106,0.3396314695568635
1,2010-04-02,A,13,0.25,1.59496828,,0,0,0,0,0,9,62.27,2.719,,,,,,210.8204499,7.808,0.46685384889172055
1,2010-04-09,A,14,0.2692307692307692,1.54541853,,0,0,0,0,0,10,65.86,2.77,,,,,,210.6228574,7.808,0.43529476686865337
1,2010-04-16,A,15,0.28846153846153844,1.46605828,,0,0,0,0,0,11,66.32,2.808,,,,,,210.4887,7.808,0.3825773571081067
1,2010-04-23,A,16,0.3076923076923077,1.3912561200000002,,0,0,0,0,0,12,64.84,2.795,,,,,,210.4391228,7.808,0.33020702251977535
1,2010-04-30,A,17,0.3269230769230769,1.42510071,,0,0,0,0,0,13,67.41,2.78,,,,,,210.3895456,7.808,0.35424248490755716
1,2010-05-07,A,18,0.34615384615384615,1.60395512,,0,0,0,0,0,14,72.55,2.835,,,,,,210.3399684,7.808,0.4724725290029985
1,2010-05-14,A,19,0.36538461538461536,1.4942515,,0,0,0,0,0,15,74.78,2.854,,,,,,210.3374261,7.808,0.401625412569807
1,2010-05-21,A,20,0.38461538461538464,1.39966207,,0,0,0,0,0,16,76.44,2.826,,,,,,210.6170934,7.808,0.33623082891328826
1,2010-05-28,A,21,0.40384615384615385,1.43206995,,0,0,0,0,0,17,80.44,2.759,,,,,,210.8967606,7.808,0.3591209151108038
1,2010-06-04,A,22,0.4230769230769231,1.6155247099999999,,0,0,0,0,0,18,80.69,2.705,,,,,,211.1764278,7.808,0.47965980173956535
1,2010-06-11,A,23,0.4423076923076923,1.5425610900000002,,0,0,0,0,0,19,80.43,2.668,,,,,,211.4560951,7.808,0.43344408055125444
1,2010-06-18,A,24,0.46153846153846156,1.5032840600000001,,0,0,0,0,0,20,84.11,2.637,,,,,,211.4537719,7.808,0.40765208825611576
1,2010-06-25,A,25,0.4807692307692308,1.4227116000000002,,0,0,0,0,0,21,84.34,2.653,,,,,,211.3386526,7.808,0.35256462815267464
1,2010-07-02,A,26,0.5,1.49241814,,0,0,0,0,0,22,80.91,2.669,,,,,,211.2235333,7.787,0.4003977172092478
1,2010-07-09,A,27,0.5192307692307693,1.54607418,,0,0,0,0,0,23,80.48,2.642,,,,,,211.108414,7.787,0.43571893090288133
1,2010-07-16,A,28,0.5384615384615384,1.44893892,,0,0,0,0,0,24,83.15,2.623,,,,,,211.1003854,7.787,0.37083150924096414
