Store,AR Order,MA Order,Diff Order,MAPE,MAD,RMSE,R-Squared,AIC,SVD,Residual Info,Train Time,Model
1,0,0,1,17.87,0.295084,0.336916,-344.22,-201.82064079313116,4,Residuals are correlated.,62.5,ARIMA
1,0,1,1,15.39,0.255098,0.30161,-256.0,-211.30367643838852,4,Residuals are correlated.,46.875,ARIMA
1,0,2,1,13.47,0.224903,0.271033,-187.48,-211.98496320319475,4,Residuals are correlated.,31.25,ARIMA
1,0,3,1,7.45,0.126875,0.17369,-18.06,-216.21206470387474,4,Residuals are independent and uncorrelated.,62.5,ARIMA
1,0,4,1,9.25,0.157524,0.20883,-70.66,-224.8107942223235,4,Residuals are independent and uncorrelated.,109.375,ARIMA
1,0,5,1,8.96,0.152773,0.203993,-62.85,-222.03505759832254,4,Residuals are independent and uncorrelated.,15.625,ARIMA
1,0,6,1,8.12,0.138744,0.190552,-42.1,-220.7178561942833,4,Residuals are independent and uncorrelated.,78.125,ARIMA
1,0,7,1,12.41,0.208511,0.255941,-156.35,-221.72572159563484,4,Residuals are independent and uncorrelated.,171.875,ARIMA
1,0,8,1,11.15,0.188199,0.237114,-120.02,-218.9665590516023,4,Residuals are independent and uncorrelated.,140.625,ARIMA
1,0,9,1,13.83,0.231098,0.277246,-200.81,-219.15348417445114,4,Residuals are independent and uncorrelated.,78.125,ARIMA
1,0,10,1,17.73,0.292531,0.338965,-349.64,-215.68589799500137,4,Residuals are independent and uncorrelated.,78.125,ARIMA
1,0,11,1,19.93,0.32815,0.377434,-457.49,-219.4463678684053,4,Residuals are independent and uncorrelated.,140.625,ARIMA
1,0,12,1,20.31,0.333895,0.38117,-468.58,-215.8874767690187,4,Residuals are correlated.,343.75,ARIMA
1,1,0,1,17.81,0.29372,0.338,-347.09,-205.3814760565191,4,Residuals are correlated.,78.125,ARIMA
1,1,1,1,12.92,0.216201,0.262339,-169.33,-211.99836075361642,4,Residuals are correlated.,31.25,ARIMA
1,1,2,1,12.37,0.207487,0.254141,-152.76,-210.56011661384065,4,Residuals are correlated.,93.75,ARIMA
1,1,3,1,7.31,0.124479,0.172678,-16.69,-218.87825107771388,4,Residuals are independent and uncorrelated.,78.125,ARIMA
1,1,4,1,11.79,0.198209,0.246934,-138.63,-220.2962701619434,4,Residuals are independent and uncorrelated.,78.125,ARIMA
