Store,Alpha,MAPE,MAD,RMSE,R-Squared,Model
1,0.0,17.86,0.300401,0.340285,-353.15,ES
1,0.01,8.55,0.149322,0.214923,-80.77,ES
1,0.02,7.14,0.123519,0.184143,-32.7,ES
1,0.03,6.96,0.119005,0.175741,-20.87,ES
1,0.04,6.96,0.118094,0.172914,-17.01,ES
1,0.05,6.99,0.117995,0.171746,-15.43,ES
1,0.06,7.04,0.118548,0.171153,-14.64,ES
1,0.07,7.09,0.118945,0.170786,-14.15,ES
1,0.08,7.12,0.119267,0.170524,-13.8,ES
1,0.09,7.15,0.119523,0.170324,-13.53,ES
1,0.1,7.18,0.119806,0.170168,-13.32,ES
1,0.11,7.22,0.120256,0.170049,-13.16,ES
1,0.12,7.27,0.120914,0.169964,-13.05,ES
1,0.13,7.31,0.121547,0.169908,-12.98,ES
1,0.14,7.36,0.122152,0.169879,-12.94,ES
1,0.15,7.4,0.122729,0.169874,-12.93,ES
1,0.16,7.44,0.123279,0.16989,-12.95,ES
1,0.17,7.48,0.123802,0.169925,-13.0,ES
1,0.18,7.51,0.124306,0.169976,-13.07,ES
1,0.19,7.55,0.124853,0.170042,-13.15,ES
1,0.2,7.59,0.125373,0.17012,-13.26,ES
1,0.21,7.62,0.125866,0.170209,-13.38,ES
1,0.22,7.65,0.126333,0.170309,-13.51,ES
1,0.23,7.68,0.126773,0.170418,-13.65,ES
1,0.24,7.71,0.127188,0.170535,-13.81,ES
1,0.25,7.73,0.127579,0.17066,-13.98,ES
1,0.26,7.76,0.127945,0.170793,-14.16,ES
1,0.27,7.78,0.128287,0.170932,-14.34,ES
1,0.28,7.8,0.128608,0.171079,-14.54,ES
1,0.29,7.82,0.128907,0.171232,-14.74,ES
1,0.3,7.84,0.129186,0.171391,-14.96,ES
1,0.31,7.86,0.129475,0.171557,-15.18,ES
1,0.32,7.88,0.129747,0.171729,-15.41,ES
1,0.33,7.89,0.130002,0.171908,-15.65,ES
1,0.34,7.91,0.130243,0.172094,-15.9,ES
