Store,Alpha,Gamma,Delta,MAPE,MAD,RMSE,R-Squared,Train Time,Model
1,0.99,0.55,0.28,64.66,1.034204,1.157616,-5144.3,375.0,Holt-Winters
1,0.08,0.44,0.47,30.27,0.474063,0.556975,-1114.03,125.0,Holt-Winters
1,0.05,0.16,0.12,10.58,0.174759,0.230563,-108.04,125.0,Holt-Winters
1,0.63,0.86,0.65,24.52,0.39259,0.439466,-655.8,0.0,Holt-Winters
1,0.99,0.47,0.62,45.97,0.737424,0.813978,-2492.88,46.875,Holt-Winters
1,0.28,0.98,0.67,121.7,1.912345,2.24114,-19556.03,109.375,Holt-Winters
1,0.44,0.29,0.51,20.62,0.322232,0.380934,-467.88,93.75,Holt-Winters
1,0.11,0.23,0.48,12.03,0.189904,0.227345,-102.27,109.375,Holt-Winters
1,0.24,0.39,0.82,8.66,0.142052,0.173908,-18.36,93.75,Holt-Winters
1,0.07,0.92,0.22,15.41,0.240782,0.285832,-219.73,109.375,Holt-Winters
1,0.71,0.11,0.6,11.23,0.177811,0.240607,-126.56,109.375,Holt-Winters
1,0.41,0.84,0.25,96.79,1.51843,1.741198,-11764.63,109.375,Holt-Winters
1,0.46,0.56,0.25,61.41,0.960543,1.112863,-4746.64,109.375,Holt-Winters
1,0.11,0.73,0.31,27.92,0.449257,0.493663,-853.72,109.375,Holt-Winters
1,0.83,0.45,0.09,14.96,0.243591,0.294959,-240.47,93.75,Holt-Winters
1,0.89,0.74,0.12,88.62,1.413732,1.600968,-9930.51,93.75,Holt-Winters
1,0.86,0.07,0.18,8.49,0.137595,0.229497,-106.12,93.75,Holt-Winters
1,0.17,0.92,0.67,47.64,0.761329,0.868431,-2851.4,46.875,Holt-Winters
1,0.26,0.25,0.98,6.23,0.102175,0.136816,26.75,109.375,Holt-Winters
1,0.68,0.4,0.06,21.59,0.337985,0.401868,-532.01,93.75,Holt-Winters
1,0.44,0.21,0.32,16.71,0.262219,0.313585,-284.83,62.5,Holt-Winters
1,0.65,0.72,0.47,8.65,0.138914,0.230079,-107.16,93.75,Holt-Winters
1,0.19,0.3,0.14,12.83,0.202872,0.258086,-160.67,109.375,Holt-Winters
1,0.09,0.49,0.99,65.22,1.033737,1.194471,-5483.53,109.375,Holt-Winters
1,0.88,0.16,0.3,9.16,0.147216,0.234503,-115.21,109.375,Holt-Winters
1,0.6,0.94,0.73,27.07,0.432467,0.484604,-819.03,78.125,Holt-Winters
1,0.04,0.16,0.06,10.7,0.176416,0.23922,-123.95,109.375,Holt-Winters
1,0.44,0.84,0.56,114.36,1.795779,2.062232,-16543.06,93.75,Holt-Winters
1,0.99,0.76,0.94,125.45,1.996195,2.258833,-19867.6,78.125,Holt-Winters
1,0.73,0.25,0.91,19.15,0.299676,0.355199,-393.74,109.375,Holt-Winters
1,0.68,0.11,0.6,11.52,0.182164,0.241774,-128.76,78.125,Holt-Winters
1,0.74,0.24,0.99,18.3,0.28654,0.340741,-354.37,109.375,Holt-Winters
1,0.84,0.43,0.72,10.96,0.178835,0.245872,-136.58,78.125,Holt-Winters
1,0.67,0.52,0.3,21.61,0.337891,0.40117,-529.82,62.5,Holt-Winters
1,0.57,0.57,0.04,34.57,0.539195,0.628823,-1447.44,93.75,Holt-Winters
1,0.45,0.99,0.23,51.2,0.799406,0.921228,-3221.18,109.375,Holt-Winters
1,0.47,0.08,0.97,8.2,0.130709,0.168403,-10.98,125.0,Holt-Winters
1,0.41,0.03,0.07,8.15,0.132203,0.222654,-94.01,109.375,Holt-Winters
1,0.07,0.37,0.18,10.99,0.175058,0.228807,-104.88,109.375,Holt-Winters
1,0.13,0.24,0.41,14.7,0.230987,0.273449,-192.62,109.375,Holt-Winters
1,0.07,0.35,0.15,10.59,0.168914,0.227996,-103.43,109.375,Holt-Winters
1,0.38,0.74,0.87,118.4,1.860479,2.172392,-18368.61,125.0,Holt-Winters
1,0.93,0.11,0.53,8.4,0.136551,0.227455,-102.46,109.375,Holt-Winters
1,0.41,0.96,0.6,141.58,2.225512,2.552324,-25393.51,109.375,Holt-Winters
1,0.81,0.75,0.66,68.45,1.093672,1.235716,-5875.78,78.125,Holt-Winters
1,0.38,0.32,0.11,24.17,0.378036,0.443974,-671.39,125.0,Holt-Winters
1,0.31,0.59,0.39,31.4,0.490903,0.574724,-1192.63,109.375,Holt-Winters
1,0.75,0.87,0.93,80.07,1.277684,1.453963,-8173.03,125.0,Holt-Winters
1,0.6,0.48,0.41,39.84,0.621422,0.725241,-1958.37,93.75,Holt-Winters
1,0.42,0.15,0.63,11.17,0.176328,0.216754,-83.86,93.75,Holt-Winters
1,0.42,0.11,0.2,11.02,0.174593,0.239386,-124.26,125.0,Holt-Winters
1,0.88,0.23,0.61,8.92,0.14342,0.230314,-107.59,171.875,Holt-Winters
1,0.39,0.58,0.73,59.83,0.936564,1.100716,-4641.42,140.625,Holt-Winters
1,0.52,0.82,0.33,43.35,0.676238,0.783459,-2302.1,109.375,Holt-Winters
1,0.31,0.36,0.1,20.89,0.327618,0.386213,-483.73,125.0,Holt-Winters
1,0.98,0.16,0.94,9.03,0.148178,0.231942,-110.53,125.0,Holt-Winters
1,0.45,0.31,0.55,23.03,0.359695,0.423577,-602.14,93.75,Holt-Winters
1,0.75,0.55,0.51,9.53,0.154827,0.23375,-113.83,125.0,Holt-Winters
1,0.97,0.32,0.13,17.99,0.292769,0.335971,-341.73,109.375,Holt-Winters
1,0.81,0.88,0.59,104.11,1.658694,1.886642,-13829.55,109.375,Holt-Winters
1,0.99,0.53,0.35,59.67,0.955117,1.066569,-4351.8,109.375,Holt-Winters
1,0.03,0.91,0.98,16.88,0.266992,0.345933,-368.32,125.0,Holt-Winters
1,0.42,0.76,0.28,91.6,1.436547,1.651283,-10570.89,109.375,Holt-Winters
1,0.93,0.06,0.04,8.61,0.140649,0.231263,-109.3,93.75,Holt-Winters
1,0.1,0.59,0.89,8.93,0.142433,0.177539,-23.35,93.75,Holt-Winters
1,0.16,0.44,0.99,20.52,0.328311,0.375387,-451.46,109.375,Holt-Winters
1,0.38,0.88,0.69,157.75,2.481677,2.863282,-31983.82,109.375,Holt-Winters
1,0.64,0.66,0.95,33.53,0.522248,0.612807,-1369.62,109.375,Holt-Winters
1,0.89,0.62,0.84,57.47,0.919658,1.029331,-4046.37,109.375,Holt-Winters
1,0.47,0.54,0.87,72.1,1.129443,1.320998,-6729.08,125.0,Holt-Winters
1,0.8,0.41,0.3,8.38,0.135333,0.228089,-103.6,140.625,Holt-Winters
1,0.19,0.36,0.19,10.19,0.161925,0.221615,-92.2,125.0,Holt-Winters
1,0.65,0.81,0.93,16.2,0.258955,0.30792,-271.05,93.75,Holt-Winters
1,0.68,0.4,0.8,30.53,0.476275,0.55803,-1118.63,109.375,Holt-Winters
1,0.82,0.8,0.35,85.12,1.358046,1.540131,-9182.68,109.375,Holt-Winters
1,1.0,0.09,0.41,9.0,0.147689,0.23347,-113.31,109.375,Holt-Winters
1,0.37,0.36,0.95,11.63,0.184581,0.222616,-93.94,125.0,Holt-Winters
1,0.73,0.84,0.26,67.36,1.076068,1.218596,-5711.35,109.375,Holt-Winters
1,0.92,0.02,0.73,8.43,0.137966,0.223574,-95.61,125.0,Holt-Winters
1,0.56,0.88,0.36,10.42,0.163848,0.25304,-150.57,78.125,Holt-Winters
1,0.73,0.26,0.98,19.91,0.31139,0.368337,-430.94,109.375,Holt-Winters
1,0.67,0.85,0.53,43.48,0.696192,0.781648,-2291.01,140.625,Holt-Winters
1,0.39,0.5,0.74,37.77,0.590405,0.697381,-1803.26,125.0,Holt-Winters
