Store,SVD,AIC,MSE
1,4,-200.39542544931712,0.02294538904734002
2,4,-200.66149246610595,0.03644264564156595
3,4,-183.87530591787748,0.032015079498906376
4,4,-209.410248285854,0.01830234401071198
5,4,-175.6481509335409,0.04469725791410547
6,4,-172.70245446592415,0.06161937968653903
7,1,-129.25747734895762,0.06846401618045385
8,4,-180.54692973178217,0.020195741884206267
9,4,-184.17315920938452,0.024153262566489468
10,4,-179.04350480085643,0.04531280871240724
11,4,-183.39860479542241,0.029794185477793316
12,4,-155.75407684499106,0.04553605975704316
13,4,-196.43749172690602,0.0309285392523661
14,4,-161.8209138311963,0.02768219725324283
15,4,-129.99554166789687,0.05234055827456401
16,4,-160.41377646832245,0.023936803799239126
17,4,-182.61374284130267,0.014892300298353978
18,4,-112.33335723215649,0.0371809020308095
19,4,-185.92346178195288,0.021574166406366134
20,4,-173.58279304022733,0.02524193756116678
21,4,-143.33022376320562,0.03900917969769582
22,4,-149.36901594709107,0.024199046223808477
23,4,-132.67003189510473,0.030579186617167742
24,4,-174.7065747728456,0.02180277629472108
25,4,-175.495308712998,0.031068431195598007
26,4,-184.94699498947986,0.015004800459758733
27,4,-145.0527782956319,0.018922642382455255
28,4,-106.35236853900668,0.01782685182253351
29,4,-122.54630190204375,0.05675719951129257
30,4,-328.02382605222937,0.0022063401313322504
31,4,-218.57727011159716,0.009825770553912918
32,4,-210.9671427816982,0.01623275961655473
33,1,-200.0859834363303,0.007518287597523609
34,4,-220.3815130713075,0.02228918885400036
35,4,-95.7964547461747,0.046576270970269666
36,1,-259.8365485480133,0.008320775224581732
37,4,-336.3802881895084,0.001339346049934001
38,1,-244.10542845244998,0.009476556566960642
39,4,-172.46106575629705,0.04059458258115492
40,4,-178.9796068336686,0.019166196150535695
41,4,-173.42654144239216,0.0341152671777605
42,4,-184.98906102691268,0.008145508932147938
43,4,-256.00445934537765,0.004304636839668188
44,4,-312.1562615970977,0.0077174724585672375
45,4,-158.7379913466848,0.04223641320926109
